,title,genre
0,Abilene,Country/Bluegrass
1,Above And Beyond (The Call Of Love),Country/Bluegrass
2,AC/DC Current,Jazz
3,Acadian Driftwood,Folk/Roots
4,Ac-Cent-Tchu-Ate The Positive,Swing
5,"Accident In Paradise, An",Dance/Electronica
6,Ace Of Spades,Rock/Pop
7,Acid Tracks,Dance/Electronica
8,Acperience,Dance/Electronica
9,Acquiesce,Rock/Pop
10,Across The Universe,Rock/Pop
11,Act Naturally,Country/Bluegrass
12,Action Satisfaction,Hip-Hop
13,Addicted To Love,R & B/Soul
14,"Adventures Of Grandmaster Flash On The Wheels Of Steel, The",Hip-Hop
15,Africa,Reggae
16,Afro Puffs,Hip-Hop
17,After Hours,Blues
18,After Hours,Rock/Pop
19,After Midnight,Rock/Pop
20,After The Gold Rush,Rock/Pop
21,After You've Gone,Blues
22,Aftermath,Dance/Electronica
23,Against All Odds (Take A Look At Me Now),Rock/Pop
24,Agua De Beber (Water To Drink),Jazz
25,Ah! Sweet Mystery Of Life,Musical/Film
26,Ahead By A Century,Rock/Pop
27,Ain't It A Shame (aka Ain't That A Shame),R & B/Soul
28,Ain't Life A Brook,Folk/Roots
29,Ain't Misbehavin',Jazz
30,Ain't No Cure For Love,Rock/Pop
31,Ain't No Half Steppin',Hip-Hop
32,Ain't No Mountain High Enough,R & B/Soul
33,Ain't No Sunshine (When She's Gone),R & B/Soul
34,Ain't Nobody,R & B/Soul
35,Ain't Nobody Here But Us Chickens,Jazz
36,Ain't Nothin' Goin On But The Rent,R & B/Soul
37,Ain't She Sweet,Jazz
38,Ain't Talkin' 'Bout Love,Rock/Pop
39,Ain't That Just Like A Woman,Blues
40,Ain't That Lonely Yet,Country/Bluegrass
41,Ain't That Peculiar,R & B/Soul
42,Ain't Too Proud To Beg,R & B/Soul
43,Ain't We Got Fun,Musical/Film
44,Air,Dance/Electronica
45,Air Mail Special,Swing
46,Al Capone,Reggae
47,Alabama,Rock/Pop
48,Alabama Jubilee,Musical/Film
49,Alabama Song (Whisky Bar),Musical/Film
50,Alabamy Bound,Musical/Film
51,Albert Flasher,Rock/Pop
52,Alberta's Child,Country/Bluegrass
53,Alexander's Ragtime Band,Jazz
54,Alfie,Musical/Film
55,Alice Blue Gown,Musical/Film
56,Alice's Restaurant Massacree,Folk/Roots
57,Alifib/Alfie,Rock/Pop
58,Alison,Rock/Pop
59,Alive,Rock/Pop
60,All Alone,Musical/Film
61,All Along The Watchtower,Rock/Pop
62,All Apologies,Rock/Pop
63,All Around The World,Rock/Pop
64,All Around The World,R & B/Soul
65,All Around The World (aka Grits Ain't Groceries),R & B/Soul
66,All Blues,Jazz
67,All By Myself,Rock/Pop
68,All Day And All Of The Night,Rock/Pop
69,All I Do Is Dream Of You,Musical/Film
70,All I Have Is Love,Reggae
71,All I Have To Do Is Dream,Country/Bluegrass
72,All I Really Want To Do,Folk/Roots
73,All I Wanna Do,Rock/Pop
74,All I Want,Rock/Pop
75,All My Ex's Live In Texas,Country/Bluegrass
76,All Night Long,Blues
77,All Of Me,Jazz
78,All Or Nothing At All,Jazz
79,All Right Now,Rock/Pop
80,All Shook Up,Rock/Pop
81,All That I Can Say,R & B/Soul
82,All The Best,Folk/Roots
83,All The Gold In California,Country/Bluegrass
84,All The Lovely Ladies,Folk/Roots
85,All The Things You Are,Jazz
86,All The Way,Jazz
87,All The Young Dudes,Rock/Pop
88,All Things Dull And Ugly,Musical/Film
89,All Tomorrow's Parties,Rock/Pop
90,All You Need Is Love,Rock/Pop
91,All Your Love,Blues
92,All Your Love (I Miss Loving),Blues
93,Almost Independence Day,R & B/Soul
94,Almost Persuaded,Country/Bluegrass
95,Alone And Forsaken,Country/Bluegrass
96,Along Came Betty,Jazz
97,Alright,Rock/Pop
98,"Alright, Okay, You Win",Jazz
99,Always,Jazz
100,Always Be My Baby,R & B/Soul
101,Always Late (With Your Kisses),Country/Bluegrass
102,Always Look On The Bright Side Of Life,Musical/Film
103,Always On My Mind,Country/Bluegrass
104,Always Say Goodbye,Jazz
105,Always Something There To Remind Me,Rock/Pop
106,Am I Blue?,Jazz
107,Amanda,Country/Bluegrass
108,Amarillo By Morning,Country/Bluegrass
109,Amelia,Rock/Pop
